iso_code,continent,location,date,total_cases,new_cases
DOM,North America,Dominican Republic,03/01/2020,NA,0
DOM,North America,Dominican Republic,04/01/2020,NA,0
DOM,North America,Dominican Republic,05/01/2020,NA,0
DOM,North America,Dominican Republic,06/01/2020,NA,0
DOM,North America,Dominican Republic,07/01/2020,NA,0
DOM,North America,Dominican Republic,08/01/2020,NA,0
DOM,North America,Dominican Republic,09/01/2020,NA,0
DOM,North America,Dominican Republic,10/01/2020,NA,0
DOM,North America,Dominican Republic,11/01/2020,NA,0
DOM,North America,Dominican Republic,12/01/2020,NA,0
DOM,North America,Dominican Republic,13/01/2020,NA,0
DOM,North America,Dominican Republic,14/01/2020,NA,0
DOM,North America,Dominican Republic,15/01/2020,NA,0
DOM,North America,Dominican Republic,16/01/2020,NA,0
DOM,North America,Dominican Republic,17/01/2020,NA,0
DOM,North America,Dominican Republic,18/01/2020,NA,0
DOM,North America,Dominican Republic,19/01/2020,NA,0
DOM,North America,Dominican Republic,20/01/2020,NA,0
DOM,North America,Dominican Republic,21/01/2020,NA,0
DOM,North America,Dominican Republic,22/01/2020,NA,0
DOM,North America,Dominican Republic,23/01/2020,NA,0
DOM,North America,Dominican Republic,24/01/2020,NA,0
DOM,North America,Dominican Republic,25/01/2020,NA,0
DOM,North America,Dominican Republic,26/01/2020,NA,0
DOM,North America,Dominican Republic,27/01/2020,NA,0
DOM,North America,Dominican Republic,28/01/2020,NA,0
DOM,North America,Dominican Republic,29/01/2020,NA,0
DOM,North America,Dominican Republic,30/01/2020,NA,0
DOM,North America,Dominican Republic,31/01/2020,NA,0
DOM,North America,Dominican Republic,01/02/2020,NA,0
DOM,North America,Dominican Republic,02/02/2020,NA,0
DOM,North America,Dominican Republic,03/02/2020,NA,0
DOM,North America,Dominican Republic,04/02/2020,NA,0
DOM,North America,Dominican Republic,05/02/2020,NA,0
DOM,North America,Dominican Republic,06/02/2020,NA,0
DOM,North America,Dominican Republic,07/02/2020,NA,0
DOM,North America,Dominican Republic,08/02/2020,NA,0
DOM,North America,Dominican Republic,09/02/2020,NA,0
DOM,North America,Dominican Republic,10/02/2020,NA,0
DOM,North America,Dominican Republic,11/02/2020,NA,0
DOM,North America,Dominican Republic,12/02/2020,NA,0
DOM,North America,Dominican Republic,13/02/2020,NA,0
DOM,North America,Dominican Republic,14/02/2020,NA,0
DOM,North America,Dominican Republic,15/02/2020,NA,0
DOM,North America,Dominican Republic,16/02/2020,NA,0
DOM,North America,Dominican Republic,17/02/2020,NA,0
DOM,North America,Dominican Republic,18/02/2020,NA,0
DOM,North America,Dominican Republic,19/02/2020,NA,0
DOM,North America,Dominican Republic,20/02/2020,NA,0
DOM,North America,Dominican Republic,21/02/2020,NA,0
DOM,North America,Dominican Republic,22/02/2020,NA,0
DOM,North America,Dominican Republic,23/02/2020,NA,0
DOM,North America,Dominican Republic,24/02/2020,NA,0
DOM,North America,Dominican Republic,25/02/2020,NA,0
DOM,North America,Dominican Republic,26/02/2020,NA,0
DOM,North America,Dominican Republic,27/02/2020,NA,0
DOM,North America,Dominican Republic,28/02/2020,NA,0
DOM,North America,Dominican Republic,29/02/2020,NA,0
DOM,North America,Dominican Republic,01/03/2020,NA,0
DOM,North America,Dominican Republic,02/03/2020,NA,0
DOM,North America,Dominican Republic,03/03/2020,1,1
DOM,North America,Dominican Republic,04/03/2020,1,0
DOM,North America,Dominican Republic,05/03/2020,1,0
DOM,North America,Dominican Republic,06/03/2020,1,0
DOM,North America,Dominican Republic,07/03/2020,2,1
DOM,North America,Dominican Republic,08/03/2020,2,0
DOM,North America,Dominican Republic,09/03/2020,2,0
DOM,North America,Dominican Republic,10/03/2020,2,0
DOM,North America,Dominican Republic,11/03/2020,5,3
DOM,North America,Dominican Republic,12/03/2020,5,0
DOM,North America,Dominican Republic,13/03/2020,5,0
DOM,North America,Dominican Republic,14/03/2020,5,0
DOM,North America,Dominican Republic,15/03/2020,5,0
DOM,North America,Dominican Republic,16/03/2020,5,0
DOM,North America,Dominican Republic,17/03/2020,5,0
