country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,15/02/2020,0,6,1,-2,-1,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,16/02/2020,-18,-9,-12,-13,-9,3
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,17/02/2020,0,4,-2,-8,-2,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,18/02/2020,-1,0,-3,4,3,-1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,19/02/2020,-4,-2,3,0,1,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,20/02/2020,0,-2,6,0,1,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,21/02/2020,-2,-2,7,1,1,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,22/02/2020,0,-1,3,0,2,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,23/02/2020,-6,-7,-6,-3,-4,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,24/02/2020,0,1,-1,1,4,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,25/02/2020,0,0,2,2,4,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,26/02/2020,1,0,0,0,1,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,27/02/2020,-16,-10,48,-22,-55,14
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,28/02/2020,0,4,0,2,-3,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,29/02/2020,5,9,6,6,3,-1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,01/03/2020,-5,1,-10,-2,-5,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,02/03/2020,0,5,-9,4,3,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,03/03/2020,0,5,-4,2,2,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,04/03/2020,-1,3,1,0,2,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,05/03/2020,1,1,1,2,2,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,06/03/2020,-1,0,1,0,2,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,07/03/2020,2,1,4,3,3,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,08/03/2020,-11,-8,-16,-8,-5,2
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,09/03/2020,-6,-3,-13,-5,2,2
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,10/03/2020,-3,-1,-6,1,3,0
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,11/03/2020,-5,-2,-2,-4,1,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,12/03/2020,-4,0,-6,-5,0,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,13/03/2020,-3,12,-5,-9,-10,3
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,14/03/2020,-7,15,-4,-7,-1,2
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,15/03/2020,-22,-4,-9,-15,-9,1
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,16/03/2020,-8,5,-6,-18,-11,4
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,17/03/2020,-14,12,-18,-21,-13,6
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,18/03/2020,-25,5,-25,-27,-22,10
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,19/03/2020,-53,-21,-46,-53,-46,20
DO,Dominican Republic,,,,,NA,ChIJ9bbx3jiIr44R4PcNBiQPAqY,20/03/2020,-66,-35,-57,-64,-58,27
