date,n_in_all_beds,n_in_itu,n_admitted_diagnosed,name,pid
19/09/2020,921,233,NA,Dominican Republic,0
20/09/2020,901,226,NA,Dominican Republic,0
21/09/2020,850,213,NA,Dominican Republic,0
22/09/2020,831,208,NA,Dominican Republic,0
23/09/2020,829,213,NA,Dominican Republic,0
24/09/2020,848,214,NA,Dominican Republic,0
25/09/2020,820,200,NA,Dominican Republic,0
26/09/2020,828,205,NA,Dominican Republic,0
27/09/2020,828,194,NA,Dominican Republic,0
28/09/2020,782,185,NA,Dominican Republic,0
29/09/2020,803,184,NA,Dominican Republic,0
30/09/2020,801,178,NA,Dominican Republic,0
01/10/2020,787,180,NA,Dominican Republic,0
02/10/2020,773,178,NA,Dominican Republic,0
03/10/2020,778,170,NA,Dominican Republic,0
04/10/2020,790,169,NA,Dominican Republic,0
05/10/2020,754,183,NA,Dominican Republic,0
06/10/2020,695,190,NA,Dominican Republic,0
07/10/2020,722,188,NA,Dominican Republic,0
08/10/2020,734,176,NA,Dominican Republic,0
09/10/2020,705,176,NA,Dominican Republic,0
10/10/2020,697,168,NA,Dominican Republic,0
11/10/2020,697,157,NA,Dominican Republic,0
12/10/2020,658,158,NA,Dominican Republic,0
13/10/2020,651,153,NA,Dominican Republic,0
14/10/2020,640,152,NA,Dominican Republic,0
15/10/2020,654,158,NA,Dominican Republic,0
16/10/2020,670,153,NA,Dominican Republic,0
17/10/2020,690,157,NA,Dominican Republic,0
18/10/2020,687,152,NA,Dominican Republic,0
19/10/2020,683,154,NA,Dominican Republic,0
20/10/2020,661,157,NA,Dominican Republic,0
21/10/2020,680,158,NA,Dominican Republic,0
22/10/2020,662,172,NA,Dominican Republic,0
23/10/2020,662,172,NA,Dominican Republic,0
24/10/2020,644,178,NA,Dominican Republic,0
25/10/2020,653,181,NA,Dominican Republic,0
26/10/2020,633,172,NA,Dominican Republic,0
27/10/2020,638,181,NA,Dominican Republic,0
28/10/2020,623,179,NA,Dominican Republic,0
29/10/2020,681,174,NA,Dominican Republic,0
30/10/2020,670,177,NA,Dominican Republic,0
31/10/2020,673,174,NA,Dominican Republic,0
01/11/2020,650,164,NA,Dominican Republic,0
02/11/2020,641,169,NA,Dominican Republic,0
03/11/2020,657,169,NA,Dominican Republic,0
04/11/2020,663,162,NA,Dominican Republic,0
05/11/2020,674,175,NA,Dominican Republic,0
06/11/2020,642,176,NA,Dominican Republic,0
07/11/2020,640,179,NA,Dominican Republic,0
08/11/2020,653,182,NA,Dominican Republic,0
09/11/2020,636,185,NA,Dominican Republic,0
10/11/2020,598,182,NA,Dominican Republic,0
11/11/2020,606,174,NA,Dominican Republic,0
12/11/2020,595,179,NA,Dominican Republic,0
13/11/2020,597,191,NA,Dominican Republic,0
14/11/2020,600,189,NA,Dominican Republic,0
15/11/2020,625,193,NA,Dominican Republic,0
16/11/2020,643,189,NA,Dominican Republic,0
17/11/2020,660,195,NA,Dominican Republic,0
18/11/2020,677,201,NA,Dominican Republic,0
19/11/2020,652,190,NA,Dominican Republic,0
20/11/2020,687,185,NA,Dominican Republic,0
21/11/2020,687,185,NA,Dominican Republic,0
22/11/2020,711,173,NA,Dominican Republic,0
23/11/2020,693,172,NA,Dominican Republic,0
24/11/2020,679,168,NA,Dominican Republic,0
25/11/2020,685,181,NA,Dominican Republic,0
26/11/2020,707,190,NA,Dominican Republic,0
27/11/2020,709,191,NA,Dominican Republic,0
28/11/2020,749,191,NA,Dominican Republic,0
29/11/2020,766,192,NA,Dominican Republic,0
30/11/2020,775,183,NA,Dominican Republic,0
01/12/2020,767,185,NA,Dominican Republic,0
02/12/2020,788,183,NA,Dominican Republic,0
03/12/2020,810,182,NA,Dominican Republic,0
04/12/2020,811,185,NA,Dominican Republic,0
05/12/2020,807,187,NA,Dominican Republic,0
06/12/2020,815,191,NA,Dominican Republic,0
07/12/2020,840,197,NA,Dominican Republic,0
08/12/2020,812,213,NA,Dominican Republic,0
09/12/2020,837,218,NA,Dominican Republic,0
10/12/2020,842,231,NA,Dominican Republic,0
11/12/2020,840,230,NA,Dominican Republic,0
12/12/2020,876,235,NA,Dominican Republic,0
13/12/2020,863,234,NA,Dominican Republic,0
14/12/2020,910,238,NA,Dominican Republic,0
15/12/2020,833,235,NA,Dominican Republic,0
16/12/2020,837,245,NA,Dominican Republic,0
17/12/2020,862,254,NA,Dominican Republic,0
18/12/2020,881,259,NA,Dominican Republic,0
19/12/2020,892,247,NA,Dominican Republic,0
20/12/2020,897,245,NA,Dominican Republic,0
21/12/2020,867,246,NA,Dominican Republic,0
22/12/2020,861,245,NA,Dominican Republic,0
23/12/2020,881,242,NA,Dominican Republic,0
24/12/2020,874,224,NA,Dominican Republic,0
25/12/2020,843,233,NA,Dominican Republic,0
26/12/2020,830,228,NA,Dominican Republic,0
27/12/2020,857,233,NA,Dominican Republic,0
28/12/2020,901,246,NA,Dominican Republic,0
29/12/2020,985,256,NA,Dominican Republic,0
30/12/2020,1027,258,NA,Dominican Republic,0
31/12/2020,1021,266,NA,Dominican Republic,0
01/01/2021,1034,266,NA,Dominican Republic,0
02/01/2021,1056,268,NA,Dominican Republic,0
03/01/2021,1030,270,NA,Dominican Republic,0
04/01/2021,1063,281,NA,Dominican Republic,0
05/01/2021,1081,282,NA,Dominican Republic,0
06/01/2021,1094,290,NA,Dominican Republic,0
07/01/2021,1142,302,NA,Dominican Republic,0
08/01/2021,1188,306,NA,Dominican Republic,0
09/01/2021,1205,308,NA,Dominican Republic,0
10/01/2021,1213,320,NA,Dominican Republic,0
11/01/2021,1245,322,NA,Dominican Republic,0
12/01/2021,1298,311,NA,Dominican Republic,0
13/01/2021,1295,318,NA,Dominican Republic,0
14/01/2021,1303,317,NA,Dominican Republic,0
15/01/2021,1261,321,NA,Dominican Republic,0
16/01/2021,1306,322,NA,Dominican Republic,0
17/01/2021,1302,331,NA,Dominican Republic,0
18/01/2021,1282,336,NA,Dominican Republic,0
19/01/2021,1302,331,NA,Dominican Republic,0
20/01/2021,1275,329,NA,Dominican Republic,0
21/01/2021,1305,332,NA,Dominican Republic,0
22/01/2021,1297,317,NA,Dominican Republic,0
23/01/2021,1286,303,NA,Dominican Republic,0
24/01/2021,1259,307,NA,Dominican Republic,0
25/01/2021,1259,307,NA,Dominican Republic,0
26/01/2021,1165,293,NA,Dominican Republic,0
27/01/2021,1134,288,NA,Dominican Republic,0
28/01/2021,1119,285,NA,Dominican Republic,0
29/01/2021,1086,286,NA,Dominican Republic,0
30/01/2021,1056,292,NA,Dominican Republic,0
31/01/2021,1043,293,NA,Dominican Republic,0
01/02/2021,1012,293,NA,Dominican Republic,0
02/02/2021,933,294,NA,Dominican Republic,0
03/02/2021,958,288,NA,Dominican Republic,0
04/02/2021,963,287,NA,Dominican Republic,0
05/02/2021,956,294,NA,Dominican Republic,0
06/02/2021,938,293,NA,Dominican Republic,0
07/02/2021,907,289,NA,Dominican Republic,0
08/02/2021,880,292,NA,Dominican Republic,0
09/02/2021,834,279,NA,Dominican Republic,0
10/02/2021,801,273,NA,Dominican Republic,0
11/02/2021,817,264,NA,Dominican Republic,0
12/02/2021,802,255,NA,Dominican Republic,0
13/02/2021,796,256,NA,Dominican Republic,0
14/02/2021,806,261,NA,Dominican Republic,0
15/02/2021,764,245,NA,Dominican Republic,0
16/02/2021,755,241,NA,Dominican Republic,0
17/02/2021,765,227,NA,Dominican Republic,0
18/02/2021,768,236,NA,Dominican Republic,0
19/02/2021,737,236,NA,Dominican Republic,0
20/02/2021,737,239,NA,Dominican Republic,0
21/02/2021,737,239,NA,Dominican Republic,0
22/02/2021,646,232,NA,Dominican Republic,0
23/02/2021,639,232,NA,Dominican Republic,0
24/02/2021,633,224,NA,Dominican Republic,0
25/02/2021,634,220,NA,Dominican Republic,0
26/02/2021,618,219,NA,Dominican Republic,0
27/02/2021,601,207,NA,Dominican Republic,0
28/02/2021,598,203,NA,Dominican Republic,0
01/03/2021,563,191,NA,Dominican Republic,0
02/03/2021,540,199,NA,Dominican Republic,0
03/03/2021,545,192,NA,Dominican Republic,0
04/03/2021,563,186,NA,Dominican Republic,0
05/03/2021,558,182,NA,Dominican Republic,0
06/03/2021,544,191,NA,Dominican Republic,0
07/03/2021,530,187,NA,Dominican Republic,0
08/03/2021,527,185,NA,Dominican Republic,0
09/03/2021,528,176,NA,Dominican Republic,0
10/03/2021,518,175,NA,Dominican Republic,0
11/03/2021,490,183,NA,Dominican Republic,0
12/03/2021,512,178,NA,Dominican Republic,0
13/03/2021,518,164,NA,Dominican Republic,0
14/03/2021,523,166,NA,Dominican Republic,0
15/03/2021,470,168,NA,Dominican Republic,0
16/03/2021,453,164,NA,Dominican Republic,0
17/03/2021,450,171,NA,Dominican Republic,0
18/03/2021,454,171,NA,Dominican Republic,0
19/03/2021,455,166,NA,Dominican Republic,0
20/03/2021,473,160,NA,Dominican Republic,0
21/03/2021,472,169,NA,Dominican Republic,0
22/03/2021,449,157,NA,Dominican Republic,0
23/03/2021,446,154,NA,Dominican Republic,0
24/03/2021,454,145,NA,Dominican Republic,0
25/03/2021,443,142,NA,Dominican Republic,0
26/03/2021,463,139,NA,Dominican Republic,0
27/03/2021,463,151,NA,Dominican Republic,0
28/03/2021,474,160,NA,Dominican Republic,0
29/03/2021,450,149,NA,Dominican Republic,0
30/03/2021,430,149,NA,Dominican Republic,0
31/03/2021,422,154,NA,Dominican Republic,0
01/04/2021,426,158,NA,Dominican Republic,0
02/04/2021,445,162,NA,Dominican Republic,0
03/04/2021,453,163,NA,Dominican Republic,0
04/04/2021,456,162,NA,Dominican Republic,0
05/04/2021,476,155,NA,Dominican Republic,0
06/04/2021,483,157,NA,Dominican Republic,0
07/04/2021,481,162,NA,Dominican Republic,0
08/04/2021,486,155,NA,Dominican Republic,0
09/04/2021,498,154,NA,Dominican Republic,0
10/04/2021,490,151,NA,Dominican Republic,0
11/04/2021,498,155,NA,Dominican Republic,0
12/04/2021,504,148,NA,Dominican Republic,0
13/04/2021,534,156,NA,Dominican Republic,0
14/04/2021,531,156,NA,Dominican Republic,0
15/04/2021,523,152,NA,Dominican Republic,0
16/04/2021,558,154,NA,Dominican Republic,0
17/04/2021,552,157,NA,Dominican Republic,0
18/04/2021,562,159,NA,Dominican Republic,0
19/04/2021,578,177,NA,Dominican Republic,0
20/04/2021,576,188,NA,Dominican Republic,0
21/04/2021,559,183,NA,Dominican Republic,0
22/04/2021,567,182,NA,Dominican Republic,0
23/04/2021,573,174,NA,Dominican Republic,0
24/04/2021,580,177,NA,Dominican Republic,0
25/04/2021,586,183,NA,Dominican Republic,0
26/04/2021,613,185,NA,Dominican Republic,0
27/04/2021,608,191,NA,Dominican Republic,0
28/04/2021,582,198,NA,Dominican Republic,0
29/04/2021,592,200,NA,Dominican Republic,0
30/04/2021,590,196,NA,Dominican Republic,0
01/05/2021,585,189,NA,Dominican Republic,0
02/05/2021,575,186,NA,Dominican Republic,0
03/05/2021,594,204,NA,Dominican Republic,0
04/05/2021,624,210,NA,Dominican Republic,0
05/05/2021,624,215,NA,Dominican Republic,0
06/05/2021,635,229,NA,Dominican Republic,0
07/05/2021,633,231,NA,Dominican Republic,0
08/05/2021,629,228,NA,Dominican Republic,0
09/05/2021,636,229,NA,Dominican Republic,0
10/05/2021,625,237,NA,Dominican Republic,0
11/05/2021,629,242,NA,Dominican Republic,0
12/05/2021,688,263,NA,Dominican Republic,0
13/05/2021,721,275,NA,Dominican Republic,0
14/05/2021,759,283,NA,Dominican Republic,0
15/05/2021,751,289,NA,Dominican Republic,0
16/05/2021,758,294,NA,Dominican Republic,0
17/05/2021,798,302,NA,Dominican Republic,0
18/05/2021,794,306,NA,Dominican Republic,0
19/05/2021,867,306,NA,Dominican Republic,0
20/05/2021,942,305,NA,Dominican Republic,0
21/05/2021,1013,322,NA,Dominican Republic,0
22/05/2021,998,324,NA,Dominican Republic,0
