location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Dominican Republic,DOM,15/02/2021,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
Dominican Republic,DOM,16/02/2021,385,385,NA,NA,385,385,0,0,NA,NA,34,385,0.003
Dominican Republic,DOM,17/02/2021,1379,1379,NA,NA,994,690,0.01,0.01,NA,NA,61,690,0.006
Dominican Republic,DOM,18/02/2021,5328,5328,NA,NA,3949,1776,0.05,0.05,NA,NA,158,1776,0.016
Dominican Republic,DOM,19/02/2021,10200,10200,NA,NA,4872,2550,0.09,0.09,NA,NA,227,2550,0.023
Dominican Republic,DOM,20/02/2021,13087,13087,NA,NA,2887,2617,0.12,0.12,NA,NA,233,2617,0.023
Dominican Republic,DOM,21/02/2021,14264,14264,NA,NA,1177,2377,0.13,0.13,NA,NA,212,2377,0.021
Dominican Republic,DOM,22/02/2021,NA,NA,NA,NA,NA,2616,NA,NA,NA,NA,233,2616,0.023
Dominican Republic,DOM,23/02/2021,NA,NA,NA,NA,NA,3139,NA,NA,NA,NA,280,3139,0.028
Dominican Republic,DOM,24/02/2021,26400,26400,NA,NA,NA,3574,0.24,0.24,NA,NA,318,3574,0.032
Dominican Republic,DOM,25/02/2021,NA,NA,NA,NA,NA,3970,NA,NA,NA,NA,354,3970,0.035
Dominican Republic,DOM,26/02/2021,NA,NA,NA,NA,NA,4234,NA,NA,NA,NA,377,4234,0.038
Dominican Republic,DOM,27/02/2021,NA,NA,NA,NA,NA,4782,NA,NA,NA,NA,426,4782,0.043
Dominican Republic,DOM,28/02/2021,NA,NA,NA,NA,NA,5574,NA,NA,NA,NA,496,5574,0.05
Dominican Republic,DOM,01/03/2021,60000,60000,NA,NA,NA,5956,0.53,0.53,NA,NA,530,5956,0.053
Dominican Republic,DOM,02/03/2021,105000,105000,NA,NA,45000,11806,0.94,0.94,NA,NA,1051,11806,0.105
Dominican Republic,DOM,03/03/2021,161827,161827,NA,NA,56827,19347,1.44,1.44,NA,NA,1723,19347,0.172
Dominican Republic,DOM,04/03/2021,227719,227719,NA,NA,65892,27800,2.03,2.03,NA,NA,2476,27800,0.248
Dominican Republic,DOM,05/03/2021,303490,303490,NA,NA,75771,37664,2.7,2.7,NA,NA,3354,37664,0.335
Dominican Republic,DOM,06/03/2021,375265,375265,NA,NA,71775,46958,3.34,3.34,NA,NA,4182,46958,0.418
Dominican Republic,DOM,07/03/2021,NA,NA,NA,NA,NA,47768,NA,NA,NA,NA,4254,47768,0.425
Dominican Republic,DOM,08/03/2021,400041,400041,NA,NA,NA,48577,3.56,3.56,NA,NA,4326,48577,0.433
Dominican Republic,DOM,09/03/2021,480237,480237,NA,NA,80196,53605,4.28,4.28,NA,NA,4774,53605,0.477
Dominican Republic,DOM,10/03/2021,547091,547091,NA,NA,66854,55038,4.87,4.87,NA,NA,4901,55038,0.49
Dominican Republic,DOM,11/03/2021,606006,606006,NA,NA,58915,54041,5.4,5.4,NA,NA,4813,54041,0.481
Dominican Republic,DOM,12/03/2021,NA,NA,NA,NA,NA,45681,NA,NA,NA,NA,4068,45681,0.407
Dominican Republic,DOM,13/03/2021,NA,NA,NA,NA,NA,37891,NA,NA,NA,NA,3374,37891,0.337
Dominican Republic,DOM,14/03/2021,NA,NA,NA,NA,NA,38586,NA,NA,NA,NA,3436,38586,0.344
Dominican Republic,DOM,15/03/2021,675000,675000,NA,NA,NA,39280,6.01,6.01,NA,NA,3498,39280,0.35
Dominican Republic,DOM,16/03/2021,NA,NA,NA,NA,NA,30055,NA,NA,NA,NA,2677,30055,0.268
Dominican Republic,DOM,17/03/2021,NA,NA,NA,NA,NA,22737,NA,NA,NA,NA,2025,22737,0.202
Dominican Republic,DOM,18/03/2021,NA,NA,NA,NA,NA,16553,NA,NA,NA,NA,1474,16553,0.147
Dominican Republic,DOM,19/03/2021,NA,NA,NA,NA,NA,16321,NA,NA,NA,NA,1453,16321,0.145
Dominican Republic,DOM,20/03/2021,NA,NA,NA,NA,NA,16089,NA,NA,NA,NA,1433,16089,0.143
Dominican Republic,DOM,21/03/2021,NA,NA,NA,NA,NA,15857,NA,NA,NA,NA,1412,15857,0.141
Dominican Republic,DOM,22/03/2021,NA,NA,NA,NA,NA,15625,NA,NA,NA,NA,1392,15625,0.139
Dominican Republic,DOM,23/03/2021,8.00E+05,8.00E+05,NA,NA,NA,15625,7.12,7.12,NA,NA,1392,15625,0.139
Dominican Republic,DOM,24/03/2021,NA,NA,NA,NA,NA,15655,NA,NA,NA,NA,1394,14545,0.13
Dominican Republic,DOM,25/03/2021,NA,NA,NA,NA,NA,15686,NA,NA,NA,NA,1397,13466,0.12
Dominican Republic,DOM,26/03/2021,NA,NA,NA,NA,NA,15716,NA,NA,NA,NA,1400,12386,0.11
Dominican Republic,DOM,27/03/2021,NA,NA,NA,NA,NA,15747,NA,NA,NA,NA,1402,11307,0.101
Dominican Republic,DOM,28/03/2021,NA,NA,NA,NA,NA,15777,NA,NA,NA,NA,1405,10227,0.091
Dominican Republic,DOM,29/03/2021,NA,NA,NA,NA,NA,15808,NA,NA,NA,NA,1408,9147,0.081
Dominican Republic,DOM,30/03/2021,910869,856474,54395,NA,NA,15838,8.11,7.63,0.48,NA,1410,8068,0.072
Dominican Republic,DOM,31/03/2021,NA,NA,NA,NA,NA,19281,NA,NA,NA,NA,1717,7424,0.066
Dominican Republic,DOM,01/04/2021,NA,NA,NA,NA,NA,22723,NA,NA,NA,NA,2024,6780,0.06
Dominican Republic,DOM,02/04/2021,NA,NA,NA,NA,NA,26166,NA,NA,NA,NA,2330,6137,0.055
Dominican Republic,DOM,03/04/2021,NA,NA,NA,NA,NA,29608,NA,NA,NA,NA,2637,5493,0.049
Dominican Republic,DOM,04/04/2021,NA,NA,NA,NA,NA,33050,NA,NA,NA,NA,2943,4849,0.043
Dominican Republic,DOM,05/04/2021,NA,NA,NA,NA,NA,36493,NA,NA,NA,NA,3250,4205,0.037
